Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,Chrome 121.0.0.0,,,20-02-2024 10:56:12,20-02-2024 10:59:59,3m - 46.965s,FAILED
,,,,,,,
Test Cases/me corp - aline/Login,Chrome 121.0.0.0,,,20-02-2024 10:56:13,20-02-2024 10:56:21,8.920s,PASSED
switch (role),Chrome 121.0.0.0,,,20-02-2024 10:56:13,20-02-2024 10:56:13,0.005s,PASSED
openBrowser(ME_url),Chrome 121.0.0.0,,,20-02-2024 10:56:13,20-02-2024 10:56:16,3.506s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,20-02-2024 10:56:16,20-02-2024 10:56:17,0.137s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='username']""]), AHUUsername)",Chrome 121.0.0.0,,,20-02-2024 10:56:17,20-02-2024 10:56:17,0.869s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='password']""]), password)",Chrome 121.0.0.0,,,20-02-2024 10:56:17,20-02-2024 10:56:18,0.832s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//button[@type='submit']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:18,20-02-2024 10:56:19,0.501s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//ul/li[@id='menu0']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:19,20-02-2024 10:56:21,2.276s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@id='sidebar']//a[@href='/aplikasi-baru']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:21,20-02-2024 10:56:21,0.391s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru,Chrome 121.0.0.0,,,20-02-2024 10:56:21,20-02-2024 10:56:43,21.790s,PASSED
robot = new java.awt.Robot(),Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:22,0.216s,PASSED
npwp = NPWPGenerator.generateIncrementingNPWP(),Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:22,0.061s,PASSED
driver = getWebDriver(),Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:22,0.013s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:22,0.002s,PASSED
ssDir = userDir + sprint2WebScreenshotPath,Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:22,0.005s,PASSED
"if (tipeKonsumen == ""Perorangan"")",Chrome 121.0.0.0,,,20-02-2024 10:56:22,20-02-2024 10:56:23,0.508s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//ng-select[@formcontrolname='businessType']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:23,20-02-2024 10:56:23,0.397s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath""://form//*[text()='$badanUsaha']]))",Chrome 121.0.0.0,,,20-02-2024 10:56:23,20-02-2024 10:56:24,0.520s,PASSED
"npwpPath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:56:24,20-02-2024 10:56:24,0.005s,PASSED
"siupPath = pathfinder_siup.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:56:24,20-02-2024 10:56:24,0.000s,PASSED
"tdpPath = pathfinder_tdp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:56:24,20-02-2024 10:56:24,0.000s,PASSED
"uploadFile = [[""path"":npwpPath], [""path"":siupPath], [""path"":tdpPath]]",Chrome 121.0.0.0,,,20-02-2024 10:56:24,20-02-2024 10:56:24,0.005s,PASSED
uploadFile.each({ java.lang.Object key -> ... }),Chrome 121.0.0.0,,,20-02-2024 10:56:24,20-02-2024 10:56:33,9.034s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), 2)",Chrome 121.0.0.0,,,20-02-2024 10:56:33,20-02-2024 10:56:33,0.754s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), npwp)",Chrome 121.0.0.0,,,20-02-2024 10:56:33,20-02-2024 10:56:34,0.907s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='name']""]), nama)",Chrome 121.0.0.0,,,20-02-2024 10:56:34,20-02-2024 10:56:35,0.743s,PASSED
"if (isPerubahanData == ""ya"")",Chrome 121.0.0.0,,,20-02-2024 10:56:35,20-02-2024 10:56:35,0.004s,PASSED
else,Chrome 121.0.0.0,,,20-02-2024 10:56:35,20-02-2024 10:56:35,0.382s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Proses ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:35,20-02-2024 10:56:36,0.356s,PASSED
delay(2),Chrome 121.0.0.0,,,20-02-2024 10:56:36,20-02-2024 10:56:38,2.008s,PASSED
"for ([i = 1, i < 5, (i++)])",Chrome 121.0.0.0,,,20-02-2024 10:56:38,20-02-2024 10:56:41,3.115s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@class='tab-content']/div[4]//*[text()='OK']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:41,20-02-2024 10:56:42,0.840s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@type='checkbox']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:42,20-02-2024 10:56:42,0.568s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Ya']""]))",Chrome 121.0.0.0,,,20-02-2024 10:56:42,20-02-2024 10:56:43,0.875s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru-Steps/Corporate,Chrome 121.0.0.0,,,20-02-2024 10:56:43,20-02-2024 10:59:19,2m - 35.992s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 10:56:44,20-02-2024 10:56:44,0.000s,PASSED
"filePath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:56:44,20-02-2024 10:56:44,0.000s,PASSED
"ktpPath = cobaKTP.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 10:56:44,20-02-2024 10:56:44,0.002s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//input[@formcontrolname='sidName']""]), information_namaPemilikRek)",Chrome 121.0.0.0,,,20-02-2024 10:56:44,20-02-2024 10:57:44,1m - 0.531s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Surat Keterangan Domisili ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:57:44,20-02-2024 10:57:48,3.334s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@role='tablist']//div[4]//*[text()=' Capture ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:57:48,20-02-2024 10:57:48,0.627s,PASSED
"popup.popup.uploadFile(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//modal-container//button[2]""]), filePath)",Chrome 121.0.0.0,,,20-02-2024 10:57:48,20-02-2024 10:57:50,1.574s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='FAP ']""]))",Chrome 121.0.0.0,,,20-02-2024 10:57:50,20-02-2024 10:57:51,1.360s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Add Capture']""]))",Chrome 121.0.0.0,,,20-02-2024 10:57:51,20-02-2024 10:57:52,0.497s,PASSED
"popup.popup.uploadFile(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//modal-container//button[2]""]), filePath)",Chrome 121.0.0.0,,,20-02-2024 10:57:52,20-02-2024 10:57:53,1.576s,PASSED
"fieldData = [[""Jenis Usaha"", ""TEST""], [""Omzet Usaha per Tahun"", information_mutasiSaldo], [""Alamat Perusahaan"", information_cabang], [""Berdiri Sejak Tahun"", ""2003""], [""No. Rekening BCA"", ""12345678911""]]",Chrome 121.0.0.0,,,20-02-2024 10:57:53,20-02-2024 10:57:53,0.002s,PASSED
for (def data : fieldData),Chrome 121.0.0.0,,,20-02-2024 10:57:53,20-02-2024 10:57:59,5.371s,PASSED
