Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:37,2022-03-28 12:30:38,1.015s,PASSED
"click(findTestObject(""vehiclekedua/input_carinsurancetype_kedua""))",Chrome 99.0.4844.82,Melakukan click form input car insurance type,,2022-03-28 12:30:38,2022-03-28 12:30:40,1.212s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:40,2022-03-28 12:30:41,1.007s,PASSED
"setText(findTestObject(""vehiclekedua/input_carinsurancetype_kedua""), vehicle_carInsuransetype)",Chrome 99.0.4844.82,Melakukan input car insurance type,,2022-03-28 12:30:41,2022-03-28 12:30:41,0.742s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:41,2022-03-28 12:30:42,1.015s,PASSED
"click(findTestObject(""vehiclekedua/div_All Risk_kedua""))",Chrome 99.0.4844.82,Memilih car insurance type,,2022-03-28 12:30:42,2022-03-28 12:30:43,0.453s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:43,2022-03-28 12:30:44,1.013s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/input_RSCC_carInsuranceRscc0""))",Chrome 99.0.4844.82,Melakukan checklist RSCC,,2022-03-28 12:30:44,2022-03-28 12:30:44,0.454s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:44,2022-03-28 12:30:45,1.011s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/input_RSMB_carInsuranceRsmb0""))",Chrome 99.0.4844.82,Melakukan checklist RSMB,,2022-03-28 12:30:45,2022-03-28 12:30:46,0.447s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:46,2022-03-28 12:30:47,1.005s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/input_Insurance Payment_prepaid""))",Chrome 99.0.4844.82,Memilih payment prepaid,,2022-03-28 12:30:47,2022-03-28 12:30:47,0.439s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:47,2022-03-28 12:30:48,1.009s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/input_Machine Warranty_lifeInsurance""))",Chrome 99.0.4844.82,,,2022-03-28 12:30:48,2022-03-28 12:30:49,0.443s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:49,2022-03-28 12:30:50,1.009s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-halaman-input-life-insurance.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:30:50,2022-03-28 12:30:51,1.441s,PASSED
"markPassed(""scenario 1 - halaman input life insurance"")",Chrome 99.0.4844.82,,,2022-03-28 12:30:51,2022-03-28 12:30:51,0.000s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:51,2022-03-28 12:30:52,1.014s,PASSED
"scrollToElement(findTestObject(""ME_CollateralAndLoan_Vehicle/a_Calculate All Unit (1)""), 0)",Chrome 99.0.4844.82,Melakukan scroll,,2022-03-28 12:30:52,2022-03-28 12:30:52,0.313s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:52,2022-03-28 12:30:53,1.016s,PASSED
"click(findTestObject(""vehiclekedua/input_lifeinsurancecorp_kedua""), OPTIONAL)",Chrome 99.0.4844.82,Melakukan click form input life insurance corp,,2022-03-28 12:30:53,2022-03-28 12:30:54,0.465s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:54,2022-03-28 12:30:55,1.014s,PASSED
"setText(findTestObject(""vehiclekedua/input_lifeinsurancecorp_kedua""), vehilcle_lifeInsurancecorp, OPTIONAL)",Chrome 99.0.4844.82,Melakukan input search life insurance corp,,2022-03-28 12:30:55,2022-03-28 12:30:56,1.010s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:56,2022-03-28 12:30:57,1.005s,PASSED
"click(findTestObject(""vehiclekedua/div_ASURANSI LAINNYA_kedua""), OPTIONAL)",Chrome 99.0.4844.82,Memilih life insurance corp,,2022-03-28 12:30:57,2022-03-28 12:30:57,0.452s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:57,2022-03-28 12:30:58,1.009s,PASSED
"click(findTestObject(""vehiclekedua/input_lifeinsurancebranch_kedua""), OPTIONAL)",Chrome 99.0.4844.82,Melakukan click form input life insurance branch,,2022-03-28 12:30:58,2022-03-28 12:30:59,0.460s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:30:59,2022-03-28 12:31:00,1.017s,PASSED
"setText(findTestObject(""vehiclekedua/input_lifeinsurancebranch_kedua""), vehicle_lifeInsurancebranch, OPTIONAL)",Chrome 99.0.4844.82,Melakukan input search life insurance branch,,2022-03-28 12:31:00,2022-03-28 12:31:01,0.908s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:31:01,2022-03-28 12:31:02,1.007s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/div_AS. LAINNYA_lifeinsurance""), OPTIONAL)",Chrome 99.0.4844.82,Memilih life insurance branch,,2022-03-28 12:31:02,2022-03-28 12:31:02,0.454s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:31:02,2022-03-28 12:31:03,1.014s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/input_Annual_lifeInsurancePayment""), OPTIONAL)",Chrome 99.0.4844.82,Memilih Annual,,2022-03-28 12:31:03,2022-03-28 12:31:04,0.466s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:31:04,2022-03-28 12:31:05,1.003s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-berhasil-input-data-insurance.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:31:05,2022-03-28 12:31:06,1.435s,PASSED
"markPassed(""scenario 1 - berhasil input data insurance"")",Chrome 99.0.4844.82,,,2022-03-28 12:31:06,2022-03-28 12:31:06,0.000s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:31:06,2022-03-28 12:31:07,1.013s,PASSED
"click(findTestObject(""ME_CollateralAndLoan_Vehicle/button_Note""), OPTIONAL)",Chrome 99.0.4844.82,Menekan tombol menu note,,2022-03-28 12:31:07,2022-03-28 12:31:08,0.473s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:31:08,2022-03-28 12:31:09,1.014s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-submenu-notes.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:31:09,2022-03-28 12:31:10,1.298s,PASSED
