Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S1,Chrome 99.0.4844.82,,,2022-03-28 11:56:12,2022-03-28 12:10:16,14m - 4.201s,FAILED
,,,,,,,
Test Cases/Sprint 4/Skenario 1/01-01-Transaction-AppBaru-InisiasiKonsumenBaru,Chrome 99.0.4844.82,Pengajuan 1 ( NPWP Tidak berlaku ),,2022-03-28 11:56:12,2022-03-28 11:57:49,1m - 37.144s,PASSED
robot = new java.awt.Robot(),Chrome 99.0.4844.82,,,2022-03-28 11:56:13,2022-03-28 11:56:13,0.131s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.82,,,2022-03-28 11:56:13,2022-03-28 11:56:13,0.001s,PASSED
"openBrowser("""")",Chrome 99.0.4844.82,Membuka browser chrome,,2022-03-28 11:56:13,2022-03-28 11:56:15,2.246s,PASSED
driver = getWebDriver(),Chrome 99.0.4844.82,,,2022-03-28 11:56:15,2022-03-28 11:56:15,0.009s,PASSED
navigateToUrl(ME_url),Chrome 99.0.4844.82,Melakukan navigasi ke alamat url / akses web aplikasi ME,,2022-03-28 11:56:15,2022-03-28 11:56:16,1.331s,PASSED
maximizeWindow(),Chrome 99.0.4844.82,Memaksimalkan aplikasi ME ke ukuran full desktop,,2022-03-28 11:56:16,2022-03-28 11:56:16,0.152s,PASSED
delay(5),Chrome 99.0.4844.82,Melakukan delay 5 detik,,2022-03-28 11:56:16,2022-03-28 11:56:21,5.043s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User ID_login""), CMO)",Chrome 99.0.4844.82,Melakukan input user login,,2022-03-28 11:56:21,2022-03-28 11:56:22,0.674s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User Password_login""), password)",Chrome 99.0.4844.82,Melakukan input password,,2022-03-28 11:56:22,2022-03-28 11:56:23,0.743s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-aplikasi-baru-login.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 11:56:23,2022-03-28 11:56:24,0.801s,PASSED
"markPassed(""Scenario 1 - Memastikan login berhasil"")",Chrome 99.0.4844.82,,,2022-03-28 11:56:24,2022-03-28 11:56:24,0.009s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Login""))",Chrome 99.0.4844.82,Menekan tombol login,,2022-03-28 11:56:24,2022-03-28 11:56:24,0.339s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 11:56:24,2022-03-28 11:56:26,2.008s,PASSED
"verifyElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""), 0)",Chrome 99.0.4844.82,Melakukan verifikasi objek tombol menu transaksi muncul,,2022-03-28 11:56:26,2022-03-28 11:56:26,0.318s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""))",Chrome 99.0.4844.82,Memilih menu transaksi,,2022-03-28 11:56:26,2022-03-28 11:56:27,0.335s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 11:56:27,2022-03-28 11:56:28,1.014s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Aplikasi Baru""))",Chrome 99.0.4844.82,Memilih menu aplikasi baru,,2022-03-28 11:56:28,2022-03-28 11:56:28,0.360s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 11:56:28,2022-03-28 11:56:29,1.018s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-memilih-button-transaksi-dan-aplikasi-baru.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 11:56:29,2022-03-28 11:56:30,0.624s,PASSED
"markPassed(""Scenario 1 - Memilih button transaksi dan aplikasi baru"")",Chrome 99.0.4844.82,,,2022-03-28 11:56:30,2022-03-28 11:56:30,0.001s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_perorangan_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type perorangan,,2022-03-28 11:56:30,2022-03-28 11:56:30,0.340s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 11:56:30,2022-03-28 11:56:31,1.010s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_korporasi_radios-apptype""))",Chrome 99.0.4844.82,Memilih radio type korporasi,,2022-03-28 11:56:31,2022-03-28 11:56:31,0.336s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 11:56:31,2022-03-28 11:56:32,1.008s,PASSED
