Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,Chrome 121.0.0.0,,,20-02-2024 11:08:27,20-02-2024 11:14:12,5m - 44.850s,PASSED
,,,,,,,
Test Cases/me corp - aline/Login,Chrome 121.0.0.0,,,20-02-2024 11:08:28,20-02-2024 11:08:36,8.030s,PASSED
switch (role),Chrome 121.0.0.0,,,20-02-2024 11:08:28,20-02-2024 11:08:28,0.006s,PASSED
openBrowser(ME_url),Chrome 121.0.0.0,,,20-02-2024 11:08:28,20-02-2024 11:08:32,3.495s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,20-02-2024 11:08:32,20-02-2024 11:08:32,0.148s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='username']""]), AHUUsername)",Chrome 121.0.0.0,,,20-02-2024 11:08:32,20-02-2024 11:08:33,0.904s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='password']""]), password)",Chrome 121.0.0.0,,,20-02-2024 11:08:33,20-02-2024 11:08:33,0.811s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//button[@type='submit']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:33,20-02-2024 11:08:34,0.482s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//ul/li[@id='menu0']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:34,20-02-2024 11:08:35,1.344s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@id='sidebar']//a[@href='/aplikasi-baru']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:35,20-02-2024 11:08:36,0.390s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru,Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:58,22.494s,PASSED
robot = new java.awt.Robot(),Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:36,0.180s,PASSED
npwp = NPWPGenerator.generateIncrementingNPWP(),Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:36,0.056s,PASSED
driver = getWebDriver(),Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:36,0.012s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:36,0.002s,PASSED
ssDir = userDir + sprint2WebScreenshotPath,Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:36,0.005s,PASSED
"if (tipeKonsumen == ""Perorangan"")",Chrome 121.0.0.0,,,20-02-2024 11:08:36,20-02-2024 11:08:37,0.385s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//ng-select[@formcontrolname='businessType']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:37,20-02-2024 11:08:37,0.378s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath""://form//*[text()='$badanUsaha']]))",Chrome 121.0.0.0,,,20-02-2024 11:08:37,20-02-2024 11:08:38,0.704s,PASSED
"npwpPath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 11:08:38,20-02-2024 11:08:38,0.006s,PASSED
"siupPath = pathfinder_siup.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 11:08:38,20-02-2024 11:08:38,0.003s,PASSED
"tdpPath = pathfinder_tdp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 11:08:38,20-02-2024 11:08:38,0.003s,PASSED
"uploadFile = [[""path"":npwpPath], [""path"":siupPath], [""path"":tdpPath]]",Chrome 121.0.0.0,,,20-02-2024 11:08:38,20-02-2024 11:08:38,0.001s,PASSED
uploadFile.each({ java.lang.Object key -> ... }),Chrome 121.0.0.0,,,20-02-2024 11:08:38,20-02-2024 11:08:47,9.574s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), 2)",Chrome 121.0.0.0,,,20-02-2024 11:08:47,20-02-2024 11:08:49,1.221s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='npwpNo']""]), npwp)",Chrome 121.0.0.0,,,20-02-2024 11:08:49,20-02-2024 11:08:49,0.746s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='name']""]), nama)",Chrome 121.0.0.0,,,20-02-2024 11:08:49,20-02-2024 11:08:50,0.717s,PASSED
"if (isPerubahanData == ""ya"")",Chrome 121.0.0.0,,,20-02-2024 11:08:50,20-02-2024 11:08:50,0.001s,PASSED
else,Chrome 121.0.0.0,,,20-02-2024 11:08:50,20-02-2024 11:08:50,0.354s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Proses ']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:50,20-02-2024 11:08:51,0.371s,PASSED
delay(2),Chrome 121.0.0.0,,,20-02-2024 11:08:51,20-02-2024 11:08:53,2.010s,PASSED
"for ([i = 1, i < 5, (i++)])",Chrome 121.0.0.0,,,20-02-2024 11:08:53,20-02-2024 11:08:56,2.926s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@class='tab-content']/div[4]//*[text()='OK']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:56,20-02-2024 11:08:57,0.856s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@type='checkbox']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:57,20-02-2024 11:08:57,0.583s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Ya']""]))",Chrome 121.0.0.0,,,20-02-2024 11:08:57,20-02-2024 11:08:58,0.966s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru-Steps/Corporate,Chrome 121.0.0.0,,,20-02-2024 11:08:58,20-02-2024 11:12:01,3m - 2.436s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 11:08:59,20-02-2024 11:08:59,0.001s,PASSED
"filePath = pathfinder_npwp.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 11:08:59,20-02-2024 11:08:59,0.000s,PASSED
"ktpPath = cobaKTP.replace(""/"", ""\"")",Chrome 121.0.0.0,,,20-02-2024 11:08:59,20-02-2024 11:08:59,0.000s,PASSED
"scrollToElement(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='SID Name']""]), 3)",Chrome 121.0.0.0,,,20-02-2024 11:08:59,20-02-2024 11:09:29,30.249s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//input[@formcontrolname='sidName']""]), ""AFGAN"")",Chrome 121.0.0.0,,,20-02-2024 11:09:29,20-02-2024 11:10:20,50.991s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='Surat Keterangan Domisili ']""]))",Chrome 121.0.0.0,,,20-02-2024 11:10:20,20-02-2024 11:10:20,0.459s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//div[@role='tablist']//div[4]//*[text()=' Capture ']""]))",Chrome 121.0.0.0,,,20-02-2024 11:10:20,20-02-2024 11:10:21,0.495s,PASSED
"popup.popup.uploadFile(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//modal-container//button[2]""]), filePath)",Chrome 121.0.0.0,,,20-02-2024 11:10:21,20-02-2024 11:10:23,1.633s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()='FAP ']""]))",Chrome 121.0.0.0,,,20-02-2024 11:10:23,20-02-2024 11:10:24,1.385s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[text()=' Add Capture']""]))",Chrome 121.0.0.0,,,20-02-2024 11:10:24,20-02-2024 11:10:24,0.521s,PASSED
"popup.popup.uploadFile(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//modal-container//button[2]""]), filePath)",Chrome 121.0.0.0,,,20-02-2024 11:10:24,20-02-2024 11:10:26,1.631s,PASSED
"fieldData = [[""Jenis Usaha"", ""TEST""], [""Omzet Usaha per Tahun"", information_mutasiSaldo], [""Alamat Perusahaan"", information_cabang], [""Berdiri Sejak Tahun"", ""2003""], [""No. Rekening BCA"", ""12345678911""]]",Chrome 121.0.0.0,,,20-02-2024 11:10:26,20-02-2024 11:10:26,0.007s,PASSED
for (def data : fieldData),Chrome 121.0.0.0,,,20-02-2024 11:10:26,20-02-2024 11:10:32,5.585s,PASSED
"fieldSearchData = [[""Kode Lokasi Proyek"", information_cabang], [""Kab/Kota"", information_cabang], [""Kelurahan"", ""Arteri Pondok Indah""], [""Economy Code"", ""100107""], [""Provinsi"", ""Banten""], [""Kecamatan"", ""pamulang""], [""Kode Pos"", ""15418""]]",Chrome 121.0.0.0,,,20-02-2024 11:10:32,20-02-2024 11:10:32,0.000s,PASSED
for (def data : fieldSearchData),Chrome 121.0.0.0,,,20-02-2024 11:10:32,20-02-2024 11:10:47,14.976s,PASSED
