Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aplikasi Baru,Chrome 121.0.0.0,,,20-02-2024 11:20:12,20-02-2024 11:20:44,31.109s,PASSED
,,,,,,,
Test Cases/me corp - aline/Login,Chrome 121.0.0.0,,,20-02-2024 11:20:13,20-02-2024 11:20:20,7.725s,PASSED
switch (role),Chrome 121.0.0.0,,,20-02-2024 11:20:13,20-02-2024 11:20:13,0.005s,PASSED
openBrowser(ME_url),Chrome 121.0.0.0,,,20-02-2024 11:20:13,20-02-2024 11:20:16,3.257s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,20-02-2024 11:20:16,20-02-2024 11:20:17,0.135s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='username']""]), AHUUsername)",Chrome 121.0.0.0,,,20-02-2024 11:20:17,20-02-2024 11:20:17,0.799s,PASSED
"setText(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//input[@formcontrolname='password']""]), password)",Chrome 121.0.0.0,,,20-02-2024 11:20:17,20-02-2024 11:20:18,0.796s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//form//button[@type='submit']""]))",Chrome 121.0.0.0,,,20-02-2024 11:20:18,20-02-2024 11:20:19,0.463s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//ul/li[@id='menu0']""]))",Chrome 121.0.0.0,,,20-02-2024 11:20:19,20-02-2024 11:20:20,1.484s,PASSED
"click(findTestObject(""Object Repository/xpath_dynamic"", [""xpath"":""//*[@id='sidebar']//a[@href='/aplikasi-baru']""]))",Chrome 121.0.0.0,,,20-02-2024 11:20:20,20-02-2024 11:20:20,0.351s,PASSED
,,,,,,,
Test Cases/me corp - aline/Transaction/AplikasiBaru,Chrome 121.0.0.0,,,20-02-2024 11:20:20,20-02-2024 11:20:44,23.169s,PASSED
robot = new java.awt.Robot(),Chrome 121.0.0.0,,,20-02-2024 11:20:21,20-02-2024 11:20:21,0.182s,PASSED
npwp = NPWPGenerator.generateIncrementingNPWP(),Chrome 121.0.0.0,,,20-02-2024 11:20:21,20-02-2024 11:20:21,0.055s,PASSED
driver = getWebDriver(),Chrome 121.0.0.0,,,20-02-2024 11:20:21,20-02-2024 11:20:21,0.014s,PASSED
userDir = getProjectDir(),Chrome 121.0.0.0,,,20-02-2024 11:20:21,20-02-2024 11:20:21,0.003s,PASSED
