Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:32,2022-03-28 12:06:34,2.014s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-page-sebelum-input-capture.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:06:34,2022-03-28 12:06:35,0.628s,PASSED
"markPassed(""Scenario 1 - Sebelum input capture npwp + SIUP + TDP"")",Chrome 99.0.4844.82,,,2022-03-28 12:06:35,2022-03-28 12:06:35,0.001s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:35,2022-03-28 12:06:37,2.005s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Capture_npwp""))",Chrome 99.0.4844.82,Menekan tombol capture NPWP,,2022-03-28 12:06:37,2022-03-28 12:06:37,0.343s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:37,2022-03-28 12:06:39,2.007s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_npwp)",Chrome 99.0.4844.82,Melakukan upload file NPWP,,2022-03-28 12:06:39,2022-03-28 12:06:40,0.332s,PASSED
"waitForElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_NPWP""), 0)",Chrome 99.0.4844.82,,,2022-03-28 12:06:40,2022-03-28 12:06:42,2.809s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_NPWP No fix""), NPWP_Cancel)",Chrome 99.0.4844.82,Input data nomer NPWP tidak berlaku,,2022-03-28 12:06:42,2022-03-28 12:06:43,0.650s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:06:43,2022-03-28 12:06:44,1.014s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_Name fix""), CN_Cancel)",Chrome 99.0.4844.82,Input data nama NPWP tidak berlaku,,2022-03-28 12:06:44,2022-03-28 12:06:45,0.653s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Capture_siupfix""))",Chrome 99.0.4844.82,Menekan tombol capture SIUP,,2022-03-28 12:06:45,2022-03-28 12:06:45,0.344s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:45,2022-03-28 12:06:47,2.007s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_siup)",Chrome 99.0.4844.82,Melakukan upload file SIUP,,2022-03-28 12:06:47,2022-03-28 12:06:47,0.332s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:06:47,2022-03-28 12:06:49,2.017s,PASSED
